blocco;codiceCatalogo;nomeRecord;categoria;famiglia;genere;nomeFile;percorsoRelativoAssets;referenceImageUrlSuggerito;statoAsset;statoCorrispondenza;note
4;F_BOB_CLASSIC_BOB;Classic bob;TAGLIO;BOB;FEMALE;classic_bob.png;CATALOGO TECNICO/TAGLI/BOB/classic_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/classic_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_FRENCH_BOB;French bob;TAGLIO;BOB;FEMALE;french_bob.png;CATALOGO TECNICO/TAGLI/BOB/french_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/french_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_ITALIAN_BOB;Italian bob;TAGLIO;BOB;FEMALE;italian_bob.png;CATALOGO TECNICO/TAGLI/BOB/italian_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/italian_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_BLUNT_BOB;Blunt bob;TAGLIO;BOB;FEMALE;blunt_bob.png;CATALOGO TECNICO/TAGLI/BOB/blunt_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/blunt_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_ASYMMETRICAL_BOB;Asymmetrical bob;TAGLIO;BOB;FEMALE;asymmetrical_bob.png;CATALOGO TECNICO/TAGLI/BOB/asymmetrical_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/asymmetrical_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_GRADUATED_BOB;Graduated bob;TAGLIO;BOB;FEMALE;graduated_bob.png;CATALOGO TECNICO/TAGLI/BOB/graduated_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/graduated_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_STACKED_BOB;Stacked bob;TAGLIO;BOB;FEMALE;stacked_bob.png;CATALOGO TECNICO/TAGLI/BOB/stacked_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/stacked_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_LAYERED_BOB;Layered bob;TAGLIO;BOB;FEMALE;layered_bob.png;CATALOGO TECNICO/TAGLI/BOB/layered_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/layered_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_TEXTURED_BOB;Textured bob;TAGLIO;BOB;FEMALE;textured_bob.png;CATALOGO TECNICO/TAGLI/BOB/textured_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/textured_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_WAVY_BOB;Wavy bob;TAGLIO;BOB;FEMALE;wavy_bob.png;CATALOGO TECNICO/TAGLI/BOB/wavy_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/wavy_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_SLEEK_BOB;Sleek bob;TAGLIO;BOB;FEMALE;sleek_bob.png;CATALOGO TECNICO/TAGLI/BOB/sleek_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/sleek_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
4;F_BOB_ROUNDED_BOB;Rounded bob;TAGLIO;BOB;FEMALE;rounded_bob.png;CATALOGO TECNICO/TAGLI/BOB/rounded_bob.png;/assets/CATALOGO TECNICO/TAGLI/BOB/rounded_bob.png;CREATO_DA_COLLEGARE;DA_VERIFICARE;Reference singola realistica pronta per il collegamento al catalogo tecnico.
