blocco;codiceCatalogo;nomeRecord;categoria;famiglia;genere;nomeFile;percorsoRelativoAssets;referenceImageUrlSuggerito;statoAsset;note
4_LOB;F_LOB_BLUNT_LOB;Blunt lob;TAGLIO;LOB;FEMALE;blunt_lob.png;CATALOGO TECNICO/TAGLI/LOB/blunt_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/blunt_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_SOFT_LOB;Soft lob;TAGLIO;LOB;FEMALE;soft_lob.png;CATALOGO TECNICO/TAGLI/LOB/soft_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/soft_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_LAYERED_LOB;Layered lob;TAGLIO;LOB;FEMALE;layered_lob.png;CATALOGO TECNICO/TAGLI/LOB/layered_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/layered_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_LONG_LAYERED_LOB;Long layered lob;TAGLIO;LOB;FEMALE;long_layered_lob.png;CATALOGO TECNICO/TAGLI/LOB/long_layered_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/long_layered_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_TEXTURED_LOB;Textured lob;TAGLIO;LOB;FEMALE;textured_lob.png;CATALOGO TECNICO/TAGLI/LOB/textured_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/textured_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_CHOPPY_LOB;Choppy lob;TAGLIO;LOB;FEMALE;choppy_lob.png;CATALOGO TECNICO/TAGLI/LOB/choppy_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/choppy_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_SHAGGY_LOB;Shaggy lob;TAGLIO;LOB;FEMALE;shaggy_lob.png;CATALOGO TECNICO/TAGLI/LOB/shaggy_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/shaggy_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_WAVY_LOB;Wavy lob;TAGLIO;LOB;FEMALE;wavy_lob.png;CATALOGO TECNICO/TAGLI/LOB/wavy_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/wavy_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_CURLY_LOB;Curly lob;TAGLIO;LOB;FEMALE;curly_lob.png;CATALOGO TECNICO/TAGLI/LOB/curly_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/curly_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_SLEEK_LOB;Sleek lob;TAGLIO;LOB;FEMALE;sleek_lob.png;CATALOGO TECNICO/TAGLI/LOB/sleek_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/sleek_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_ITALIAN_LOB;Italian lob;TAGLIO;LOB;FEMALE;italian_lob.png;CATALOGO TECNICO/TAGLI/LOB/italian_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/italian_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_A_LINE_LOB;A-line lob;TAGLIO;LOB;FEMALE;a_line_lob.png;CATALOGO TECNICO/TAGLI/LOB/a_line_lob.png;/assets/CATALOGO TECNICO/TAGLI/LOB/a_line_lob.png;CREATO_DA_COLLEGARE;Reference singola generata e integrata nello ZIP.
4_LOB;F_LOB_INVERTED_LOB;Inverted lob;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_ASYMMETRICAL_LOB;Asymmetrical lob;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_GRADUATED_LOB;Graduated lob;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_COLLARBONE_LOB;Collarbone lob;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_CLAVICUT;Clavicut;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_LOB_CON_FACE_FRAMING;Lob con face framing;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_LOB_CON_CURTAIN_BANGS;Lob con curtain bangs;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_LOB_CON_FRANGIA_PIENA;Lob con frangia piena;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
4_LOB;F_LOB_LOB_CON_FRANGIA_LATERALE;Lob con frangia laterale;TAGLIO;LOB;FEMALE;;;;DA_GENERARE;Record previsto nel gruppo LOB ma immagine non ancora disponibile.
